date	Tx_Ref	Tn_Ref	Tx_Can	Tn_Can 
01/01/2008	-5	-10	NA	NA
02/01/2008	-9	-14.2	NA	NA
03/01/2008	-12	-18	NA	NA
04/01/2008	-3	-19	NA	NA
05/01/2008	-1	-7	NA	NA
06/01/2008	4.5	-5	NA	NA
07/01/2008	6	-2	NA	NA
08/01/2008	3	0	NA	NA
09/01/2008	6	-1.2	NA	NA
10/01/2008	1	-3	1.3	-3.9
11/01/2008	2.5	-6	-0.8	-5.4
12/01/2008	5	-5	1.8	-5.4
13/01/2008	-7	-10.5	-5.1	-10.5
14/01/2008	-6	-11	-6.2	-12.7
15/01/2008	-4	-9	-4	-6.9
16/01/2008	-6	-8	-4.3	-10.1
17/01/2008	-2.5	-13.5	-5	-15.6
18/01/2008	0	-8	-0.4	-8.1
19/01/2008	-8	-10.5	-1.9	-12.2
20/01/2008	-16.2	-20	-12	-22.1
21/01/2008	-16.5	-25	-16.8	-23.5
22/01/2008	-12	-20	-12.3	-20
23/01/2008	-10	-16.5	-9.3	-18.9
24/01/2008	-18	-20	-11.6	-22.8
25/01/2008	-15.5	-20	-15.7	-25.1
26/01/2008	-10.5	-20	-15	-22.2
27/01/2008	-8	-16	-9.5	-21.5
28/01/2008	-7	-15	-7.8	-18.2
29/01/2008	-5	-10	-5.4	-12.3
30/01/2008	5	-6	5.3	-8.3
31/01/2008	-8	-11	-3.3	-10.8
01/02/2008	-8	-14	-9.7	-15.5
02/02/2008	-5.5	-11	-6.3	-9.9
03/02/2008	-7	-10	-7.3	-11.4
04/02/2008	-7	-11	-7.3	-13.9
05/02/2008	-4	-10	-4.3	-14.8
06/02/2008	-6	-7.5	-5.1	-9.1
07/02/2008	-9	-15.5	-9	-19
08/02/2008	-7	-17	-7.7	-19.9
09/02/2008	-5.5	-10	-6	-12.6
10/02/2008	-2	-10.5	-1.1	-11.5
11/02/2008	-7	-9	-5.8	-8.6
12/02/2008	-6	-10	-6	-15
13/02/2008	-5	-14.5	-4.4	-15.4
14/02/2008	-5	-8	-4.6	-12.2
15/02/2008	-5	-13	-7.2	-16.7
16/02/2008	-14.4	-20	-14.9	-19.2
17/02/2008	2	-17.5	-7.5	-19
18/02/2008	6	-10	2.9	-7.5
19/02/2008	-2	-4	2.4	-7.3
20/02/2008	-13	-16	-7.3	-15.1
21/02/2008	-12	-19.5	-13.7	-17.7
22/02/2008	-6	-16	-6.5	-17.1
23/02/2008	-5	-10	-4.7	-13.5
24/02/2008	0	-9	-0.9	-9
25/02/2008	-3	-5	-2.4	-4.9
26/02/2008	-7	-10	-4.1	-12.5
27/02/2008	-7	-10	-6.8	-12.3
28/02/2008	-13	-16	-12	-16.5
29/02/2008	-10	-21	-12.9	-23.2
01/03/2008	-5	-17	-5.3	-19.3
02/03/2008	-4	-8.5	-4.3	-9.2
03/03/2008	1	-12	-0.2	-13.6
04/03/2008	-0.2	-12.3	-1.1	-16.6
05/03/2008	-6	-16	-6.2	-18.3
06/03/2008	0	-11.5	-6.8	-12.2
07/03/2008	5	-8.5	2.6	-9
08/03/2008	-4	-8	-2.5	-12.4
09/03/2008	-10	-14	-10.2	-18
10/03/2008	-8	-16	-8.3	-19.8
11/03/2008	-2	-11	-3.5	-14
12/03/2008	-1	-6.5	-1.6	-10.8
13/03/2008	-10	-16	-10.8	-19
14/03/2008	-6	-16	-10.4	-22
15/03/2008	-4	-14.5	-5.1	-16.2
16/03/2008	-2	-9	-3.9	-10.1
17/03/2008	-1	-9	-2.4	-16.6
18/03/2008	-3.6	-13	-4.7	-18.4
19/03/2008	0	-10	-2.7	-11.6
20/03/2008	-1	-5	-2.6	-4.2
21/03/2008	0	-4	-1.1	-5.8
22/03/2008	-7	-9.5	-4.7	-9.5
23/03/2008	-10	-14	-9.5	-15.5
24/03/2008	-10	-18.5	-10.3	-16.8
25/03/2008	0	-15	-2.9	-18.8
26/03/2008	1	-8.5	1.5	-6.1
27/03/2008	-2	-10	-3.5	-9.2
28/03/2008	-2.5	-11	-4.7	-14.4
29/03/2008	-1	-13	-1	-15.4
30/03/2008	2	-6	-0.2	-6.4
31/03/2008	5.5	-3.5	7.3	-7.1
01/04/2008	6	-6	1.7	-6.7
02/04/2008	0	-4.5	6.7	-6
03/04/2008	1	-7.5	-0.4	-6.3
04/04/2008	5.5	-2	3.4	-0.9
05/04/2008	3	-1.5	1.5	-1.6
06/04/2008	5	-1	2.2	-3.1
07/04/2008	5	-3	1.6	-5.3
08/04/2008	6	-4.5	2.5	-5.2
09/04/2008	11	-2	5.7	-1.4
10/04/2008	5	0	4.2	0.1
11/04/2008	3	0	2.7	0
12/04/2008	2	-1.5	0.2	-1.2
13/04/2008	2	-1.5	0	-2.2
14/04/2008	4	-3.5	2.4	-2.7
15/04/2008	8	-1	3.7	-3.4
16/04/2008	12	2.5	10	-0.1
17/04/2008	15	3	11.2	2.1
18/04/2008	11	5	7.8	2
19/04/2008	5	2	4	0.2
20/04/2008	6	1	3.8	0.1
21/04/2008	8.5	1.5	7.1	1.2
22/04/2008	8.5	2	5.9	0.7
23/04/2008	3	1.5	2.7	0.9
24/04/2008	4	0.5	1.4	-0.1
25/04/2008	7	0	6.7	-1.4
26/04/2008	8	-1	6	-2.2
27/04/2008	6.5	-1.5	7.2	-2.9
28/04/2008	7.5	0	11.3	0.1
29/04/2008	12.5	2	13.3	3.5
30/04/2008	4	1.5	10.8	1.6
01/05/2008	3.5	0	2.8	0.4
02/05/2008	3.5	0	3.5	0.7
03/05/2008	8.5	1	6.5	-0.7
04/05/2008	10	-0.9	8.7	-1.2
05/05/2008	10.5	4	8.4	3
06/05/2008	14.5	3	11.3	1.7
07/05/2008	11.5	5.5	8.4	3.2
08/05/2008	9	3.5	7.3	2.3
09/05/2008	7.5	3	6	1.3
10/05/2008	7.5	1	7.1	1.2
11/05/2008	10	0.5	8.4	0.2
12/05/2008	12	0	9.6	-0.4
13/05/2008	15	4	11.3	3.3
14/05/2008	19	5	17.2	4.6
15/05/2008	13	6.5	13.2	4.4
16/05/2008	12.5	6	10.5	4
17/05/2008	11.5	3.5	10.2	2.6
18/05/2008	13.5	7	12.2	6.1
19/05/2008	13	7	9.8	4.8
20/05/2008	11	6.5	9.1	4.5
21/05/2008	10.5	5	9.9	5.2
22/05/2008	13.5	5	12.9	5
23/05/2008	8.5	5	8.3	5.4
24/05/2008	13.5	5	12.8	6.2
25/05/2008	19	8	17.2	6.4
26/05/2008	17	11.5	18.2	9.4
27/05/2008	9.5	6.5	11.5	6.7
