date	Tx_Ref	Tn_Ref	Tx_Can	Tn_Can 
28/05/2008	13	5	11.2	5.9
29/05/2008	11.4	6.5	12.1	6.9
30/05/2008	14	5	11.6	5.7
31/05/2008	17	4	14	4
01/06/2008	8.5	6	8.1	5
02/06/2008	9	5	8	2.7
03/06/2008	16	4	13.3	2.5
04/06/2008	14	6	12.4	3.4
05/06/2008	18.5	3.5	17	2.7
06/06/2008	20.5	7	20.3	3.7
07/06/2008	14.5	9.5	14.3	7.9
08/06/2008	18.5	7	14.5	7.9
09/06/2008	20	8.5	17.3	7
10/06/2008	13.3	8.5	14.3	8.2
11/06/2008	20	8	15.7	8.7
12/06/2008	17.5	11	14.6	9.4
13/06/2008	21.5	7	20	7.5
14/06/2008	18	7	14.6	5.7
15/06/2008	16	8	15	7.6
16/06/2008	20	9	14.4	7.9
17/06/2008	15	9.5	14.5	9.8
18/06/2008	19.5	10	14	8.6
19/06/2008	14.5	9	15.3	9
20/06/2008	14.5	7.5	13.6	7.8
21/06/2008	14	6.5	12.2	7.7
22/06/2008	17	6	11.9	7.4
23/06/2008	20	9	16.9	10
24/06/2008	19	10	17.6	10.3
25/06/2008	22	11.5	18.5	9.9
26/06/2008	17	12	17.4	10.7
27/06/2008	15.2	9.5	13.4	9.8
28/06/2008	17	9	13.9	8.7
29/06/2008	13	8	13.4	8.9
30/06/2008	15	10	12.1	7.7
01/07/2008	22	7.5	16.9	7.7
02/07/2008	25	12	22.8	10.5
03/07/2008	24.5	14	23.7	11.2
04/07/2008	20	10	16.6	10.3
05/07/2008	24	11	23.4	10.1
06/07/2008	20	13.5	18.6	13
07/07/2008	26	15	21.2	13.1
08/07/2008	21.5	14	18.8	11.8
09/07/2008	16.5	10	13.6	11.2
10/07/2008	22.5	10	19.5	11.2
11/07/2008	20.5	12	16.8	11.8
12/07/2008	21.5	11	17	10.7
13/07/2008	22.5	13	22.6	12.3
14/07/2008	25.5	17	24.7	15.3
15/07/2008	22	16	19.9	15.7
16/07/2008	22	15	21.3	15.4
17/07/2008	22	14	19.2	14.8
18/07/2008	22	15	18.9	12.9
19/07/2008	22.5	13	19.9	11.1
20/07/2008	22	13	21.3	12.1
21/07/2008	18.5	13	16.8	13
22/07/2008	19.5	12	17.5	11.9
23/07/2008	21	12	19.7	12.7
24/07/2008	25.5	13	24.3	14.9
25/07/2008	27	18	28.2	14.8
26/07/2008	25	18.5	24.8	17.5
27/07/2008	27	20	27.4	16.4
28/07/2008	23	17	20.6	14.3
29/07/2008	22	16	20.1	15
30/07/2008	22.5	15.5	20.6	15
31/07/2008	24	16	21.2	14.6
01/08/2008	20	15	17.5	9
02/08/2008	16	10	10.2	7.1
03/08/2008	17	9	8.8	5.8
04/08/2008	16	8	10.3	3.5
05/08/2008	18.5	5	NA	3.5
06/08/2008	18.5	8	15.8	7
07/08/2008	20	9.5	18.7	10.1
08/08/2008	20	11	18.9	10.8
09/08/2008	19.5	12	17.1	12.5
10/08/2008	19	11	19	12.2
11/08/2008	21	12	19.6	12.6
12/08/2008	17	14	17.6	14.1
13/08/2008	19	14	19	12.9
14/08/2008	20	12	18.6	11.8
15/08/2008	20.5	13.5	18.4	14.2
16/08/2008	23	14	20.4	13.5
17/08/2008	18	15	18.3	11.8
18/08/2008	21	11	20.4	10.3
19/08/2008	16.5	13	16.6	12.6
20/08/2008	17	12	17.9	10.9
21/08/2008	22	12	18.2	10.1
22/08/2008	22	14	20.1	15.7
23/08/2008	23	15	20.8	15.5
24/08/2008	26	16.3	23.8	15.8
25/08/2008	17	14	21.5	13
26/08/2008	19	11	18.7	9.8
27/08/2008	21	10	18.6	9
28/08/2008	17.5	12	17.1	12.6
29/08/2008	17	13	16.2	11.9
30/08/2008	18.5	11	17.6	12.2
31/08/2008	16	12	15.7	12.6
01/09/2008	21	12	20.2	12.5
02/09/2008	21	11.5	21.2	11.6
03/09/2008	22	14	20.6	11.4
04/09/2008	17	11	18.6	9.8
05/09/2008	15	8.5	15.9	8
06/09/2008	16	11	16.8	13.4
07/09/2008	14	12	15.1	12.1
08/09/2008	18	11	15.9	11.6
09/09/2008	15	10	14.5	11
10/09/2008	14	9	14	6.3
11/09/2008	16	8	15.8	5.6
12/09/2008	14	11	14.1	8.6
13/09/2008	15	10	14	10.6
14/09/2008	19	9	20.6	10.4
15/09/2008	13	9.5	17.7	5.7
16/09/2008	14	6.5	12.6	4
17/09/2008	18	5	17.2	5
18/09/2008	10	6	9.9	2
19/09/2008	14	3	12.8	1.3
20/09/2008	21.5	5	21.5	9.4
21/09/2008	10.5	5	10.3	3.4
22/09/2008	9	3	9.5	0.9
23/09/2008	12	4	11.2	2
24/09/2008	11	2	11	0.5
25/09/2008	17	6	16.4	7.8
26/09/2008	19.5	11	15.9	11.7
27/09/2008	16.5	11.5	16.3	10.5
28/09/2008	11.5	10	11.3	10.4
29/09/2008	9.5	8	11.3	8.1
30/09/2008	10.5	4	9.6	3.6
01/10/2008	13.5	3.5	10.3	4.5
02/10/2008	13	7.5	13.5	7
03/10/2008	12	4.5	12.1	5.1
04/10/2008	10	5	9	5.8
05/10/2008	8.5	4	7.9	5.7
06/10/2008	9	3.5	8.3	5.6
07/10/2008	10	5	9.3	6
08/10/2008	12	6.5	10.2	4.9
09/10/2008	8.5	3.5	8.8	3.7
10/10/2008	11	5	10	6
11/10/2008	12	7	9.9	4.1
12/10/2008	9	4	8.2	2.8
13/10/2008	9	2	8.8	1
14/10/2008	14	1	15.7	0.8
15/10/2008	9	5.5	8.4	5.3
16/10/2008	11	5	10.7	5.3
17/10/2008	8	4.5	7.6	4.1
18/10/2008	6	2	5.3	-1.4
19/10/2008	8.3	-1.5	5.7	-2.3
20/10/2008	8.5	0	8.7	0.4
21/10/2008	4	0	5.1	-0.1
22/10/2008	0	-4	0.3	-5.8
23/10/2008	5	-6	4.5	-5.5
24/10/2008	7.5	2	5.5	0.8
25/10/2008	13	3	12.4	1
26/10/2008	14	4.5	14.9	5.3
27/10/2008	17.5	5	14.2	3.7
28/10/2008	16.5	3.5	16.5	4.2
29/10/2008	11.5	3	14.1	1.6
30/10/2008	4.5	1	4.2	1
31/10/2008	5	-2	4.9	-2.2
01/11/2008	2.5	0	3.8	0.2
02/11/2008	2	-2	2.4	-1.2
03/11/2008	5	-1	4.6	-0.5
04/11/2008	7	3	12.6	3.4
05/11/2008	17	5	11.7	4.8
06/11/2008	18.6	5	12.1	4.8
07/11/2008	3	2	6.1	2.6
08/11/2008	5	1.5	4.4	2.5
09/11/2008	5.5	3	5.5	4
10/11/2008	6.5	3	5.6	1.1
11/11/2008	3	0.5	3.4	-0.4
12/11/2008	3.5	-2	2.9	-1.7
13/11/2008	5	-2	3.4	-2.2
14/11/2008	10	-2	7.2	0.7
15/11/2008	19	4	14.5	3.6
16/11/2008	17	3	19.2	3.3
17/11/2008	2	-0.4	3.4	-1.4
18/11/2008	-2	-5	-0.5	-4
19/11/2008	-3	-6	-1.9	-4.3
20/11/2008	-4	-6	-2.4	-4.1
21/11/2008	-3	-5	-2.2	-5.7
22/11/2008	-5.5	-7.5	-1.5	-6
23/11/2008	-5	-10	-3.3	-7.6
24/11/2008	-5	-7	-3.6	-12.4
25/11/2008	1	-10	0.5	-14
26/11/2008	5	-3.5	5	-1.7
27/11/2008	4	0	3.6	-2.8
28/11/2008	3	-1.9	3.1	-1.2
29/11/2008	0.5	0	1.9	-0.6
30/11/2008	-1	-3	-0.6	-5.9
01/12/2008	5	-5	4.1	-5.4
02/12/2008	5	-0.5	4.8	-1.5
03/12/2008	2	-3.5	0.8	-3.4
04/12/2008	4	-1	3.5	-2.4
05/12/2008	-5	-9	-2.2	-9.1
06/12/2008	-1	-10	-2.3	-10.5
07/12/2008	0.5	-6	0.8	-2.7
08/12/2008	-9	-11.4	-1.3	-9.3
09/12/2008	-7	-13	-7.1	-11.9
10/12/2008	-5	-10	-3.1	-8.4
11/12/2008	-4.2	-11	-7.2	-12.9
12/12/2008	-2.5	-11	-1.2	-10.6
13/12/2008	-10	-12	-2	-12.2
14/12/2008	-3	-14	-3.7	-15.5
15/12/2008	9	-6	9.4	-4.4
16/12/2008	-7	-10	3.2	-10.5
17/12/2008	-10	-13	-9.9	-12
18/12/2008	-6	-12	-5.2	-13.6
19/12/2008	-15	-19	-13.2	-17.1
20/12/2008	-14	-17	-13.5	-18.1
21/12/2008	-10	-16	-8.8	-19.8
22/12/2008	-9	-16	-7.8	-10.7
23/12/2008	-8.6	-17	-10.3	-15.5
24/12/2008	-2.5	-14.6	-3.6	-12.2
25/12/2008	-4	-10	-1.9	-14.7
26/12/2008	-11	-18	-13.9	-17.8
27/12/2008	1	-16	-3.6	-17.9
28/12/2008	9	-7	7.6	-3.7
29/12/2008	-2	-6	3.3	-8.1
30/12/2008	-5	-12.5	-5.7	-12.4
31/12/2008	-10.9	-15	-6.4	-14.6
01/01/2009	-10	-14	-8.3	-13.7
02/01/2009	-12	-14	-10.8	-13.1
03/01/2009	-3	-13	-6.9	-12.5
04/01/2009	1	-10	0.4	-7.2
05/01/2009	-4.5	-8	-4.7	-7.6
06/01/2009	-12	-13	-7.4	-13.1
07/01/2009	-5	-15	-7.4	-13.8
08/01/2009	-5	-13	-4.4	-7.5
09/01/2009	-6	-8	-5.6	-8.1
10/01/2009	-12	-15	-7.7	-14
11/01/2009	-13	-16	-12.3	-17.8
12/01/2009	-8	-16	-8.7	-18.4
13/01/2009	0	-12.5	-1.6	-12.2
14/01/2009	-6	-17.5	0	-21.7
15/01/2009	-21.8	-25	-21	-25
16/01/2009	-22	-26	-21.4	-26.6
17/01/2009	-22.8	-26	-23.4	-26.8
18/01/2009	-8	-24.5	-10.5	-29.4
19/01/2009	-6	-17.3	-6.1	-10.5
20/01/2009	-9	-16.3	-7.2	-16.5
21/01/2009	-9.4	-17	-9.3	-19.6
22/01/2009	-6.6	-12	-6.8	-18.1
23/01/2009	-12.5	-21	-12.8	-20.1
24/01/2009	-12.5	-18	-10.7	-22.1
25/01/2009	-22	-24	-20.3	-22.8
26/01/2009	-16	-24	-15.7	-22.6
27/01/2009	-14.1	-22.5	-17.3	-21.2
28/01/2009	-8	-20	-8.3	-20.2
29/01/2009	-6	-12	-6.6	-8.9
30/01/2009	-6	-10	-6.9	-11.4
31/01/2009	-4	-11.5	-4.9	-12.2
01/02/2009	-6.1	-13	-6.8	-14.2
02/02/2009	0	-13	-1.1	-12.1
03/02/2009	-10	-17	-9.7	-16
04/02/2009	-9	-15.3	-9.8	-14
05/02/2009	-10.2	-17.5	-11	-17.9
06/02/2009	-7	-16.5	-9.6	-16.5
07/02/2009	0.5	-13.3	0.1	-12.2
08/02/2009	-1	-8.2	-0.1	-12.4
09/02/2009	-12	-16	-11.6	-15.6
10/02/2009	-8	-16.5	-9.4	-17.6
11/02/2009	-5	-10.7	-5.5	-10.4
12/02/2009	-4	-7.5	-3.1	-8.8
13/02/2009	-10	-18	-8.8	-17.6
14/02/2009	-1	-13	-0.5	-12.2
15/02/2009	0	-4	-0.4	-6
16/02/2009	-2	-5	-2.5	-4.8
17/02/2009	-3	-7.5	-3.3	-5.5
18/02/2009	0.4	-6	-2.6	-10.9
19/02/2009	-1.5	-10.5	-2.2	-11.8
20/02/2009	-1.5	-6	-1.8	-3.5
21/02/2009	-4	-6	-3	-6.6
22/02/2009	-3.4	-9.5	-4.4	-8
23/02/2009	-5	-7.2	-2.8	-6.5
24/02/2009	-3	-10	-2.3	-10.8
25/02/2009	-2	-11	-5.3	-13.7
26/02/2009	1	-9.5	2.1	-9.7
27/02/2009	7.8	-3.6	8.8	-2
28/02/2009	-8.8	-13	1.1	-12.8
01/03/2009	-7.2	-15	-9	-16.9
02/03/2009	-8.5	-10.9	-7.4	-10.3
03/03/2009	-9	-13	-8.6	-11.6
04/03/2009	-9	-17	-8.6	-17.5
05/03/2009	-7.6	-13.5	-8.7	-15.7
06/03/2009	-3	-15	-2.9	-17.2
07/03/2009	1	-6	-0.2	-4.9
08/03/2009	4	-3	3.1	-5.9
09/03/2009	-2.5	-9	-4.8	-10.6
10/03/2009	0	-11	-2.3	-11.5
11/03/2009	4	-6	5	-6.4
12/03/2009	-11.5	-16	-3.3	-15.9
13/03/2009	-5.5	-17	-8.2	-16
14/03/2009	-1.5	-9.5	-0.7	-10.2
15/03/2009	-7	-10.7	-6.9	-14.9
16/03/2009	-3.6	-14.5	-4.9	-16.3
17/03/2009	5	-11	-0.7	-13.6
18/03/2009	6	-4.5	6.4	-4.8
19/03/2009	1	-6	4.5	-8
20/03/2009	-5	-10.9	-4.2	-11.2
21/03/2009	-1	-10	-2.7	-14.1
22/03/2009	-2	-7	-1.7	-8.9
23/03/2009	-0.7	-8.7	-1.8	-8.2
24/03/2009	0.3	-5.5	-2.2	-9
25/03/2009	2.4	-9	-1.2	-11.6
26/03/2009	6.1	-8.5	0	-7.3
27/03/2009	4	-4	1.1	-3.7
28/03/2009	5	-1	3.7	-0.5
29/03/2009	4.5	-3.2	3.7	-3.5
30/03/2009	1	-3	3.3	-2.2
31/03/2009	2.5	-3	2.4	-3.2
01/04/2009	4	-2	1.7	-3.6
02/04/2009	7	0	6.6	0.7
03/04/2009	10	3	6.1	0.5
04/04/2009	6.5	0	3.7	-0.1
05/04/2009	0	-1	0.1	-0.4
06/04/2009	3	-1.1	2.8	-0.7
07/04/2009	8	-1	8	0.4
08/04/2009	4	-0.2	7.1	0.1
09/04/2009	5	-1.5	5.7	-0.6
10/04/2009	2	-2.5	1.5	-1.1
11/04/2009	1.8	-3	1.5	-2.9
12/04/2009	1	-3	1.4	-3.7
13/04/2009	0	-2	0.3	-2.1
14/04/2009	3.5	-3.5	2.9	-2.3
15/04/2009	3.5	-1.5	3.5	-3.5
16/04/2009	2	-3.5	2.5	-2.7
17/04/2009	5	-2.5	4.4	-2.9
18/04/2009	1	-4	1.6	-3.4
19/04/2009	3	-3.5	2.6	-3.5
20/04/2009	7.5	-3	5.8	-4.1
21/04/2009	12	-1	13.5	-2
22/04/2009	14.5	2	8.9	2
23/04/2009	9	1	9.6	1.1
24/04/2009	16	1.5	8.9	2.7
25/04/2009	21	6	18.3	4.1
26/04/2009	7	4	10.3	-1.7
27/04/2009	6.5	-2	4.9	-1.8
28/04/2009	9.5	0	9.1	1.4
29/04/2009	6.5	-2.5	5	-0.4
30/04/2009	12	-1.5	9.9	1.3
01/05/2009	15.5	3	13.4	4.5
02/05/2009	8	2.5	7.1	-0.1
03/05/2009	11.5	1.5	8.3	-1.2
04/05/2009	11	4	10.3	-0.8
05/05/2009	8	-2	7.3	-3.5
06/05/2009	7.4	-1.5	4.4	-2
07/05/2009	9	0	7.3	1.7
08/05/2009	6	2.5	4.9	2.6
09/05/2009	13.5	2	9.6	3.6
10/05/2009	7	3	6.1	3
11/05/2009	7.5	1	6.4	1.7
12/05/2009	14	-2.5	10.6	0.7
13/05/2009	18.5	5.5	14.1	4.1
14/05/2009	21.7	11	22.8	10.1
15/05/2009	9.8	6.5	14.8	2.3
16/05/2009	14	3	12.7	0.7
17/05/2009	13.7	6	14.9	2.7
18/05/2009	9	2	4.7	1.5
19/05/2009	13.5	2.5	12.3	1.2
20/05/2009	9	3	7.7	2.4
21/05/2009	11.5	3	11.3	3.8
22/05/2009	14	4	11.2	4.2
23/05/2009	13.5	3	8.9	3.5
24/05/2009	12.5	5	11.9	5.4
25/05/2009	8.5	5	7.9	4.6
26/05/2009	10	4	8.8	1.1
27/05/2009	11.5	3	10.7	1
28/05/2009	16	5	14	4.2
29/05/2009	12	8.5	12.2	8.5
30/05/2009	13	7	10.6	6.6
31/05/2009	16	6	14.5	6.8
01/06/2009	10.5	6	9.7	6.1
02/06/2009	14.5	8	12.1	8
03/06/2009	15	8	12.6	6.8
04/06/2009	15	7.5	12.6	6.4
05/06/2009	16	8	14	6.9
06/06/2009	14	8	13.6	7.2
07/06/2009	12.5	8	11.3	8
08/06/2009	13.5	6	11.1	7.5
09/06/2009	14	7	11.5	5.6
10/06/2009	10	7	10.3	7.6
11/06/2009	10.5	8	10.5	7.7
12/06/2009	10.5	7.5	9.2	6.6
13/06/2009	17	6	15.1	5.6
14/06/2009	13	9	12.4	5.4
15/06/2009	15.5	5.6	14.2	4.4
16/06/2009	21	7	17.8	5.7
17/06/2009	24	13	19.3	13.2
18/06/2009	22	14	19.7	12.9
19/06/2009	18.5	12	20.3	12.2
20/06/2009	18.5	13	19.9	11.8
21/06/2009	15	12	17.1	9.3
22/06/2009	19	8	16.8	6.4
23/06/2009	22	9	19.4	8
24/06/2009	20	12	18.3	11.2
25/06/2009	22	12	16.2	10.5
26/06/2009	19.5	13	17.5	11.2
27/06/2009	17.5	13	16.2	12
28/06/2009	16	12	15.7	10.4
29/06/2009	17.5	10	13.2	6.1
30/06/2009	15	8	11.7	6.1
01/07/2009	12.5	9	10.7	7
02/07/2009	14	9	12.2	7.9
03/07/2009	13	9.5	12.7	8.8
04/07/2009	14	9	12.5	8.2
05/07/2009	15.5	9	13.1	7.8
06/07/2009	14.5	9	12.3	6.5
07/07/2009	17	6.5	14.9	5.7
08/07/2009	19	8	17.7	8.2
09/07/2009	20	13	18.3	10.3
10/07/2009	24	13	18.9	14.2
11/07/2009	28	15	27.3	15.5
12/07/2009	21	16	21.6	14.4
13/07/2009	16	13	15.2	10.6
14/07/2009	16	12	15.3	10
15/07/2009	19	13	17.1	12.5
16/07/2009	18.5	12	16.4	11.7
17/07/2009	20.3	13	17.3	10.9
18/07/2009	20	13	16.2	12.2
19/07/2009	21	12	19.5	12
20/07/2009	22.5	14	18.8	14
21/07/2009	23	13.5	21	12.8
22/07/2009	16.5	12	15.5	10.8
23/07/2009	20	10	17.9	11.2
24/07/2009	21	13	18.7	12.9
25/07/2009	15	13	14.5	12.3
26/07/2009	20	12	15.2	12
27/07/2009	22	12	20.1	13.7
28/07/2009	24	13	18.7	13.7
29/07/2009	25.5	15	24.7	17
30/07/2009	23.5	17	21.4	15.2
31/07/2009	22	17	20.6	14.8
01/08/2009	23.5	14.5	21.7	15.4
02/08/2009	27.5	15.5	27.7	14.8
03/08/2009	23	18	21.8	15.5
04/08/2009	25	18	25.3	13.8
05/08/2009	24.5	18	24	15
06/08/2009	20	15	19.2	13.3
07/08/2009	18.5	13.2	17.6	11.2
08/08/2009	20	13	18.1	12.6
09/08/2009	19.5	15	18.5	12.1
10/08/2009	19	14	16.7	13.9
11/08/2009	22.5	14.5	NA	13.3
12/08/2009	22	11	20.6	9.6
13/08/2009	26	16	21.5	15.2
14/08/2009	25	18	22.1	16.7
15/08/2009	28	18	25.5	16.7
16/08/2009	20	16	18.9	14.5
17/08/2009	20	17	18.1	14.6
18/08/2009	19	15	18.2	14.4
19/08/2009	21.5	15	18.6	14.7
20/08/2009	20.5	15	19.3	13.2
21/08/2009	20	15	19.4	13
22/08/2009	24	15	19.8	12.8
23/08/2009	18.5	16	17	10.5
24/08/2009	20	11.5	19.6	9.3
25/08/2009	21	10.5	18.8	9.1
26/08/2009	23	14.5	22.5	12
27/08/2009	14.5	12	14.3	10.7
28/08/2009	15	8.5	13.9	6.8
29/08/2009	16	8.7	14.5	5.4
30/08/2009	16	12	15.4	9.6
31/08/2009	13.5	10.8	15.5	8.9
01/09/2009	19.5	7.8	14.5	6.5
02/09/2009	23	10.6	23	11.9
03/09/2009	19.5	13.5	19.6	12.4
04/09/2009	18	12	14.9	9.4
05/09/2009	13.5	9	13.5	6
06/09/2009	16	6	13.7	4.7
07/09/2009	20	9.5	18.3	10.1
08/09/2009	17	10	15.3	5.9
09/09/2009	14	6.5	14.4	3.8
10/09/2009	17.5	5.5	14.1	4.1
11/09/2009	18.5	8.5	16.1	9.2
12/09/2009	19	11	16.2	12
13/09/2009	12	10	14.7	8.3
14/09/2009	14	6	12.5	5.8
15/09/2009	8	6	8.9	4.9
16/09/2009	11.5	1.5	11.1	2.7
17/09/2009	14.5	7	13.2	3.9
18/09/2009	12.5	8	11.9	8.1
19/09/2009	12.5	7.5	11.1	5.2
20/09/2009	15.5	7.5	12.7	6.4
21/09/2009	19	8.5	15.5	7.6
22/09/2009	21.5	11	15.3	9.2
23/09/2009	22	10	13.1	9.1
24/09/2009	12.2	8	12.2	7.2
25/09/2009	10	3	9.1	0
26/09/2009	13	1	11.1	0.2
27/09/2009	15	6	13.7	8.5
28/09/2009	16	8	13	7
29/09/2009	17	6.5	17.3	6.3
30/09/2009	15	6.5	12.5	6.3
01/10/2009	10.5	7	9.8	6.8
02/10/2009	9.5	6.5	8	6.6
03/10/2009	10.5	6.5	10	6.5
04/10/2009	10	6.5	7.5	6.1
05/10/2009	8	5.5	7.5	5.8
06/10/2009	9	5	8	5.4
07/10/2009	8	2.5	7.6	1.4
08/10/2009	9	5	8.2	5.9
09/10/2009	11	5	11.2	5.1
10/10/2009	8	6	8	5.6
11/10/2009	10	2	10.4	0.9
12/10/2009	7.5	3	7	2.5
13/10/2009	7	2	6.2	2.2
14/10/2009	6.5	2	6.5	3.4
15/10/2009	6	1	5.3	-0.9
16/10/2009	6.5	-2	6.4	-2.9
17/10/2009	6.5	-3	6.9	-3.5
18/10/2009	6.5	-1	6.7	-3.1
19/10/2009	6.5	-3	7.6	-1.7
20/10/2009	7	-1	7.1	0.1
21/10/2009	5.5	3	5.3	4
